0.000	9.755	4.080	2.5844
0.377	9.825	4.635	2.7803
2.935	11.878	4.275	2.7814
6.741	10.705	5.275	2.7385
0.786	12.040	3.940	2.7807
7.610	13.418	6.447	2.7100
0.818	13.308	4.097	2.6712
18.703	12.862	5.618	2.5680
0.156	12.413	1.825	2.5489
0.129	11.723	0.258	2.4816
5.427	12.412	2.430	2.7520
3.220	11.977	3.705	2.9484
2.591	13.287	6.438	2.6860
3.790	13.473	7.222	2.7508
0.000	12.390	1.100	2.7741
0.000	12.082	1.015	2.7675
0.000	11.985	-0.330	2.4472
0.000	12.758	-1.002	2.8260
0.000	13.705	-1.352	2.7443
0.000	13.303	-0.553	2.8796
0.690	12.797	2.907	2.6408
0.189	14.550	3.015	2.5246
0.118	13.688	0.192	2.4068
3.188	13.000	3.887	2.4982
4.733	14.125	4.100	2.5002
1.997	14.168	7.012	2.5709
5.662	14.778	8.875	2.3583
9.402	17.497	9.058	2.2745
10.554	15.327	10.522	2.4882
5.916	15.638	9.720	2.6054
9.518	12.935	8.843	2.2171
3.633	14.625	10.795	2.3191
9.098	12.895	8.975	2.8238
3.775	13.470	6.082	2.6786
1.381	14.188	7.912	2.6088
0.000	14.520	4.555	2.4901
0.355	13.785	4.753	2.5775
6.350	14.872	5.710	2.7071
15.606	15.973	7.750	2.3344
7.516	12.965	7.465	2.5235
11.051	14.053	6.370	2.3847
2.357	13.697	5.360	2.2451
0.000	14.350	2.600	2.5538
0.000	15.150	1.867	2.4412
0.050	15.835	2.610	2.3239
0.432	16.705	5.577	2.4307
6.488	18.290	9.505	2.8042
5.749	14.543	10.722	2.4032
1.389	16.873	8.962	2.4137
0.394	17.122	7.232	2.6247
7.971	13.380	5.495	2.6161
0.211	12.940	1.573	2.4320
10.625	13.070	7.655	2.2475
2.864	16.635	8.355	2.4015
6.617	16.135	9.630	2.2133
0.190	16.487	9.583	2.1420
0.543	17.650	4.953	2.2553
4.075	16.285	6.058	2.1269
9.785	14.602	6.842	2.2262
0.801	14.883	3.908	2.2637
0.000	17.215	4.387	2.5171
0.000	18.115	4.455	2.3262
0.000	18.865	7.365	2.3457
0.000	18.512	4.363	2.1627
0.000	17.802	4.808	2.2156
0.000	18.863	3.863	1.9464
0.000	20.020	3.962	2.0428
0.098	16.815	7.645	2.2619
0.000	17.162	6.928	2.3179
0.000	19.463	6.255	2.0998
1.397	19.265	8.675	2.1056
0.300	20.900	9.780	2.0005
0.000	21.307	10.072	2.0988
0.000	22.035	7.700	2.3174
0.000	23.775	7.340	2.3363
0.000	22.657	9.290	2.2248
0.000	23.482	7.863	1.9968
0.000	23.055	7.083	2.0808
0.000	25.657	7.020	2.0076
0.000	26.582	8.680	1.8589
0.000	26.832	8.340	2.1054
0.000	26.332	8.288	2.1596
0.000	22.795	7.010	2.2923
0.000	19.300	4.678	2.1178
3.366	18.457	11.183	2.3033
8.970	20.130	10.807	2.5391
12.817	15.637	11.087	2.4669
3.856	19.438	8.490	2.4240
5.918	15.770	7.787	2.2088
1.851	19.315	10.440	2.1859
0.000	21.570	10.717	2.2269
0.000	21.283	11.250	2.5425
0.023	20.032	9.608	2.3415
